,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Years_as_Customer,Family_Size,Total_income_familymember,Total_Conv,RecentCmp,Total_spent,Total_spent_percent_income,Total_Purchases,AOV,Total_Purchases_year,%Wine,%Fruit,%Meat,%Fish,%Sweet,%Gold,%WebPurchases,%CatalogPurchases,%StorePurchases,%DealPurchases,products_factor,Deal_purchases,channels_factor,Basic,Graduation,Master,PhD,Married,Single,Together,Widow
14,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,33,8,1,17323.0,0,0,41,0.0011833294851073654,4,8.2,0.5,8.659008254921204e-05,0.0004040870518963228,0.0004906771344455348,0.00017318016509842407,2.8863360849737343e-05,0.0001443168042486867,0.2,0.0,0.6,0.2,0.01629717335715142,0,0.13170731707317077,0,1,0,0,1,0,0,0
15,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,74,8,1,82800.0,2,5,1270,0.00766898950495767,25,48.84615384615385,3.125,0.00607487922705314,0.00013285024154589372,0.0006944444444444445,0.000356280193236715,0.0004106280193236715,0.0002717391304347826,0.2692307692307692,0.23076923076923078,0.46153846153846156,0.038461538461538464,0.19110879353134788,0,0.45590994371482174,0,0,0,1,0,1,0,0
16,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,40,8,3,13950.0,0,0,92,0.0010991374160713005,6,13.142857142857142,0.75,0.001899641577060932,0.00017921146953405018,0.0006810035842293907,7.168458781362007e-05,0.00046594982078853047,0.00014336917562724014,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.07285572492024105,0,0.28222996515679444,0,1,0,0,1,0,0,0
17,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,74,8,1,37760.0,0,0,289,0.003826699504780064,11,24.083333333333332,1.375,0.0011122881355932204,6.620762711864407e-05,0.0005031779661016949,0.001986228813559322,0.00015889830508474575,0.0003707627118644068,0.3333333333333333,0.08333333333333333,0.5,0.16666666666666666,0.045607182145185325,0,0.2926829268292683,0,1,0,0,0,0,1,0
18,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,71,7,2,38497.5,1,1,1606,0.01042911320068575,24,64.24,3.4285714285714284,0.013143710630560426,0.0010390285083446977,0.006467952464445743,0.0,0.00020780570166893954,0.002285862718358335,0.44,0.16,0.36,0.08,0.5536684985253075,0,0.4829268292682927,0,0,1,0,1,0,0,0
19,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,35,8,2,16906.0,0,0,94,0.0013899979297903172,6,13.428571428571429,0.75,0.0001183011948420679,0.0005027800780787886,0.0005619306754998225,0.0008872589613155093,0.0007098071690524074,0.001153436649710162,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.019204029585698817,0,0.4076655052264809,0,0,0,0,0,1,0,0
20,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,38,8,1,37040.0,0,0,268,0.0036176129154180505,11,22.333333333333332,1.375,0.0011609071274298055,2.6997840172786177e-05,0.0009854211663066954,0.0009314254859611231,0.0005129589632829373,0.0006479481641468683,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.06059426770583627,0,0.43902439024390244,0,1,0,0,1,0,0,0
22,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,71,8,2,29303.5,1,4,953,0.00813028938028938,14,63.53333333333333,1.75,0.01479345470677564,0.0,0.001467401504939683,0.0,0.0,0.0003241933557424881,0.13333333333333333,0.2,0.6,0.2,0.4590698810122258,0,0.30731707317073176,0,0,0,1,1,0,0,0
23,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,66,6,2,32662.0,0,0,539,0.004125526215078454,17,29.944444444444443,2.8333333333333335,0.005878390790521095,0.0,0.001561447553732166,0.0003214744963566224,0.0004898658992100913,7.654154675157675e-05,0.3333333333333333,0.1111111111111111,0.5,0.16666666666666666,0.21003849114574116,0,0.3170731707317073,0,0,0,1,1,0,0,0
24,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,69,7,2,20344.5,0,0,345,0.0042393708527893835,13,24.642857142857142,1.8571428571428572,0.006635700066357001,7.37300007373e-05,0.0006635700066357001,0.0009584900095849001,0.0001474600014746,0.0024330900243309003,0.5,0.07142857142857142,0.35714285714285715,0.5,0.20607002486564532,0,0.4076655052264809,0,1,0,0,0,0,1,0
25,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,51,7,1,18589.0,0,0,62,0.0016675632060247445,6,8.857142857142858,0.8571428571428571,0.00016138576577545862,0.0001075905105169724,0.0006724406907310775,0.0004034644144386465,0.00032277153155091723,0.0003496691591801603,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.023540249491753068,0,0.4076655052264809,0,1,0,0,0,1,0,0
26,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,44,7,3,17786.333333333332,0,0,216,0.0020239880059970015,10,19.636363636363637,1.4285714285714286,0.004863284544313049,0.00011244588541764277,0.0008433441406323208,8.433441406323208e-05,0.00016866882812646415,0.0011525703255308383,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.16110722075578052,0,0.41906873614190693,0,1,0,0,1,0,0,0
28,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,31,7,2,19180.0,0,0,121,0.0015771225984724069,7,15.125,1.0,0.0009384775808133472,5.213764337851929e-05,0.0010948905109489052,0.0005213764337851929,0.0005474452554744526,0.00026068821689259646,0.25,0.125,0.5,0.25,0.057405221212572625,0,0.32926829268292684,0,1,0,0,1,0,0,0
29,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,55,7,1,84618.0,1,5,1672,0.009879577872581808,25,64.3076923076923,3.5714285714285716,0.004041693256753882,0.0005908908270108015,0.00473303552435652,0.0001240870736722683,0.00038998794582712897,0.0,0.23076923076923078,0.34615384615384615,0.38461538461538464,0.038461538461538464,0.2477245752014418,0,0.624765478424015,0,0,0,1,1,0,0,0
30,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,31,6,1,10979.0,0,0,26,0.0011839708561020036,6,3.7142857142857144,1.0,0.0003643319063667001,0.00018216595318335004,0.0004554148829583751,9.108297659167502e-05,9.108297659167502e-05,0.00018216595318335004,0.42857142857142855,0.0,0.42857142857142855,0.2857142857142857,0.02314275805258591,0,0.28222996515679444,0,0,1,0,0,0,0,0
31,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,57,7,1,38620.0,0,0,229,0.0029647083193081484,10,20.818181818181817,1.4285714285714286,0.0014500258933195236,0.00022009321595028482,0.0005696530295183843,0.00044018643190056963,0.00028482651475919215,0.00115225271879855,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.05701875416142636,0,0.8181818181818182,0,0,1,0,0,0,1,0
32,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,50,8,2,20274.0,1,4,117,0.0014426989568176775,7,14.625,0.875,0.0027128341718457138,0.0,0.00012331064417480517,4.9324257669922065e-05,0.0,7.39863865048831e-05,0.25,0.125,0.5,0.25,0.08006888728810896,0,0.32926829268292684,0,1,0,0,0,0,1,0
33,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,68,8,3,15536.666666666666,0,0,259,0.002778314131857287,11,21.583333333333332,1.375,0.0030894657798755634,0.00038618322248444543,0.0030894657798755634,0.001062003861832225,0.0007080025745548166,0.0013838232139025961,0.3333333333333333,0.08333333333333333,0.5,0.5,0.17444108348206183,0,0.2926829268292683,0,0,0,1,0,0,0,0
34,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,74,7,1,68657.0,0,0,1174,0.008549622767922165,17,65.22222222222223,2.4285714285714284,0.003510202892640226,0.0002476076729248292,0.003430094527870428,0.0008666268552369022,0.0004952153458496584,0.00016021672953959537,0.16666666666666666,0.2777777777777778,0.5,0.05555555555555555,0.1959356548966858,0,0.4634146341463415,0,0,1,0,1,0,0,0
35,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,69,7,3,16463.0,0,0,62,0.0006276574205304718,5,10.333333333333334,0.7142857142857143,0.0012148454109214603,0.0,0.0005770515701876936,6.0742270546073014e-05,3.0371135273036507e-05,9.111340581910952e-05,0.3333333333333333,0.0,0.5,0.16666666666666666,0.05058810699717582,0,0.21951219512195122,0,0,1,0,0,1,0,0
36,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,50,7,2,33676.5,0,0,878,0.006517801466876503,23,36.583333333333336,3.2857142857142856,0.010422698320787493,0.0002524015262868766,0.0022419194393716686,0.0,0.00011877718884088311,0.0005196502011788636,0.20833333333333334,0.25,0.5,0.20833333333333334,0.3575423392547351,0,0.43902439024390244,0,0,0,1,1,0,0,0
37,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,44,7,2,11859.0,0,0,45,0.000948606602301952,6,6.428571428571429,0.8571428571428571,0.00025297242600556537,0.00012648621300278268,0.0005902689940129859,0.0006324310650139134,0.00029513449700649294,0.0015178345560333923,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.02380604891356219,0,0.5331010452961673,0,0,0,0,1,0,0,0
38,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,47,6,2,21214.5,0,0,63,0.0007423992458166392,5,10.5,0.8333333333333334,0.0012962832025265737,0.0,0.00014141271300289896,4.713757100096632e-05,0.0,9.427514200193263e-05,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.040588446529548135,0,0.36585365853658536,0,1,0,0,0,0,0,1
39,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,77,7,1,48948.0,1,3,860,0.008784653414778647,22,37.391304347826086,3.142857142857143,0.004463920895644357,8.171937566396992e-05,0.0021042739233472258,0.0016343875132793985,0.0005005311759418158,0.00042902672223584214,0.30434782608695654,0.43478260869565216,0.21739130434782608,0.08695652173913043,0.18543060554506374,0,0.8494167550371156,0,0,0,1,0,0,0,0
40,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,40,7,2,40005.5,0,0,1293,0.008080037994300855,19,64.65,2.7142857142857144,0.005261776505730462,0.0009498693929584682,0.00669907887665446,0.001024859081876242,0.002224694104560623,0.0012748247116021547,0.4,0.3,0.25,0.1,0.3376740059505554,0,0.702439024390244,0,1,0,0,1,0,0,0
41,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,35,7,2,10279.5,0,0,46,0.0011186770428015563,5,7.666666666666667,0.7142857142857143,0.0006323264750231042,4.864049807870033e-05,0.0014105744442823095,0.00014592149423610097,0.0,0.00034048348655090226,0.3333333333333333,0.0,0.5,0.3333333333333333,0.05767434812378633,0,0.21951219512195122,0,0,1,0,1,0,0,0
42,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,63,8,2,10997.0,0,0,19,0.00043191634462377815,3,4.75,0.375,0.0004092025097753933,0.0,0.00027280167318359554,0.00013640083659179777,4.546694553059925e-05,0.00013640083659179777,0.0,0.0,0.75,0.25,0.019254064794894114,0,0.0,0,1,0,0,0,0,1,0
43,51381.5,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,61,7,1,51381.5,0,0,147,0.0014304481097649978,8,16.333333333333332,1.1428571428571428,0.0007882214415694365,0.00010704241799091113,0.0004865564454132324,2.9193386724793942e-05,1.9462257816529296e-05,0.00037951402742232126,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.03598901098901099,0,0.5609756097560975,0,0,0,1,0,1,0,0
44,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,45,7,2,3750.0,0,0,19,0.0012664978002932942,5,3.1666666666666665,0.7142857142857143,0.0004,0.00013333333333333334,0.0013333333333333333,0.0004,0.0002666666666666667,0.0016,0.3333333333333333,0.0,0.5,0.5,0.048934761904761905,0,0.21951219512195122,0,0,1,0,1,0,0,0
45,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,44,6,1,79941.0,0,0,810,0.00506617297540717,15,50.625,2.5,0.0007693173715615266,0.0010257564954153687,0.0016637269986615128,0.0014197971003615166,0.00018763838330768942,0.0010883026231845987,0.125,0.25,0.5625,0.0625,0.06868871940033797,0,0.38414634146341464,0,1,0,0,0,1,0,0
47,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,52,7,2,20864.0,0,0,42,0.0005032471422751564,4,8.4,0.5714285714285714,0.0003115414110429448,0.00014378834355828222,0.0003594708588957055,7.189417177914111e-05,0.00011982361963190184,0.0003115414110429448,0.4,0.0,0.4,0.2,0.018943745575743277,0,0.3073170731707317,0,1,0,0,0,0,1,0
48,51381.5,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,69,6,4,12845.375,0,0,117,0.0011385199240986717,7,14.625,1.1666666666666667,0.0018683767503868123,0.00019462257816529297,0.0018683767503868123,0.00023354709379835154,0.00038924515633058593,0.00027247160943141016,0.25,0.125,0.5,0.375,0.1054945054945055,0,0.32926829268292684,0,1,0,0,0,1,0,0
49,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,66,8,3,24183.333333333332,0,0,1281,0.008828272525533762,19,64.05,2.375,0.017077877325982083,0.0010337698139214336,0.006554100620261889,0.0010337698139214336,0.0007856650585802894,0.0007856650585802894,0.25,0.1,0.6,0.45,0.6671683927719421,0,0.21951219512195122,0,0,0,1,1,0,0,0
50,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,63,6,2,32743.0,0,0,493,0.003764105853070075,16,29.0,2.6666666666666665,0.0037412576733958404,0.0002901383501817182,0.001908804935406041,0.0005650062608801882,0.001023119445377638,0.00021378615276547658,0.23529411764705882,0.11764705882352941,0.5882352941176471,0.058823529411764705,0.15951027029349113,0,0.2453371592539455,0,1,0,0,0,0,0,1
51,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,56,8,1,79143.0,0,0,1661,0.010493530779338926,28,57.275862068965516,3.5,0.0041064907825076125,0.0002337540906965872,0.004927788939009135,0.0001705773094272393,0.0010550522471981098,0.00020216570006191325,0.20689655172413793,0.3103448275862069,0.4482758620689655,0.034482758620689655,0.25505211181929277,0,0.5374264087468461,0,0,1,0,1,0,0,0
52,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,43,7,2,17895.0,0,0,69,0.0009639294794780811,5,11.5,0.7142857142857143,0.00033528918692372173,0.00016764459346186087,0.0005588153115395362,0.0008382229673093043,2.794076557697681e-05,8.382229673093043e-05,0.3333333333333333,0.0,0.5,0.3333333333333333,0.025241994663620818,0,0.21951219512195122,0,1,0,0,0,1,0,0
53,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,43,6,1,82582.0,2,3,1376,0.008331012435973506,20,65.52380952380952,3.3333333333333335,0.003087839965125572,0.0007265505800295464,0.0033300234918020874,0.0009445157540384103,0.00024218352667651545,0.0014591557482260056,0.19047619047619047,0.42857142857142855,0.3333333333333333,0.047619047619047616,0.1811865116550157,0,0.7421602787456446,0,1,0,0,0,0,0,0
54,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,42,7,3,22124.333333333332,0,0,497,0.003743935878506644,16,29.235294117647058,2.2857142857142856,0.007412652735298992,0.00020339595920027724,0.002802344326759375,0.0002711946122670363,0.0005423892245340727,0.00246335106142558,0.23529411764705882,0.11764705882352941,0.5882352941176471,0.4117647058823529,0.288385643705578,0,0.2453371592539455,0,1,0,0,1,0,0,0
55,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,65,8,1,82384.0,1,5,1767,0.010724039570310128,26,65.44444444444444,3.25,0.005972033404544572,0.00030952612157700526,0.0026218683239463973,0.0010924451349776656,0.0007282967566517771,0.0011531365313653136,0.1111111111111111,0.37037037037037035,0.48148148148148145,0.037037037037037035,0.24261953937497735,0,0.5609756097560975,0,0,1,0,0,0,1,0
56,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,54,7,1,70287.0,0,0,1053,0.007490610061461416,20,50.142857142857146,2.857142857142857,0.0020985388478666042,0.00024897918534010554,0.0034287990666837394,0.0008607566121757935,0.0008536429211660762,0.00028454764038869206,0.23809523809523808,0.23809523809523808,0.47619047619047616,0.047619047619047616,0.15604555662443323,0,0.4494773519163763,0,1,0,0,0,0,0,0
57,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,32,6,2,13969.0,0,0,24,0.0004295071405562117,5,4.0,0.8333333333333334,0.0004653160569833202,0.0,0.0002863483427589663,7.158708568974158e-05,3.579354284487079e-05,0.00017896771422435393,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.021220683711735328,0,0.07317073170731711,0,1,0,0,0,1,0,0
58,51381.5,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,38,7,2,25690.75,0,0,40,0.00038923758088843475,5,6.666666666666667,0.7142857142857143,0.00021408483598182225,5.8386773449587884e-05,0.0004281696719636445,3.892451563305859e-05,3.892451563305859e-05,0.00011677354689917577,0.3333333333333333,0.0,0.5,0.3333333333333333,0.018131868131868133,0,0.21951219512195122,0,1,0,0,0,1,0,0
59,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,52,6,2,27977.0,0,0,475,0.004244482173174873,16,27.941176470588236,2.6666666666666665,0.007988705007684884,0.0,0.0005004110519355185,0.0,0.0,0.000768488401186689,0.47058823529411764,0.11764705882352941,0.35294117647058826,0.17647058823529413,0.2396612729765856,0,0.45193687230989954,0,0,0,1,1,0,0,0
60,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,38,7,1,75777.0,2,5,1358,0.008960384280398005,20,64.66666666666667,2.857142857142857,0.00469799543397073,0.00017155601303825698,0.0035498898082531637,0.00045528326537075896,8.577800651912849e-05,0.0005278646555023292,0.14285714285714285,0.2857142857142857,0.5238095238095238,0.047619047619047616,0.23285094262270714,0,0.4494773519163763,0,0,1,0,0,1,0,0
61,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,45,8,3,22217.666666666668,0,0,606,0.00454586371410568,18,31.894736842105264,2.25,0.010172085277481884,0.0004050830420236148,0.0022954705714671505,0.00036007381513210204,0.0004050830420236148,0.00013502768067453827,0.21052631578947367,0.10526315789473684,0.631578947368421,0.21052631578947367,0.35197896750152463,0,0.19640564826700901,0,1,0,0,0,0,1,0
63,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,69,7,2,33840.0,0,0,600,0.004432558620587757,18,31.57894736842105,2.5714285714285716,0.008067375886524822,0.0,0.0007092198581560284,0.0,8.865248226950355e-05,8.865248226950355e-05,0.3684210526315789,0.15789473684210525,0.42105263157894735,0.05263157894736842,0.24777728255786763,0,0.42747111681643135,0,0,0,1,0,0,0,1
64,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,72,7,1,70666.0,0,0,1046,0.007400908486280725,15,65.375,2.142857142857143,0.0028160643024934197,0.0002830215379390372,0.002596722610590666,0.0008419890753686355,0.0008632156907140634,0.00021226615345427787,0.4375,0.25,0.25,0.0625,0.15281159932671973,0,0.6585365853658537,0,1,0,0,0,0,1,0
65,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,49,7,2,12860.5,0,0,19,0.0003693336443511391,4,3.8,0.5714285714285714,3.887873721861514e-05,0.00011663621165584542,0.00023327242331169085,0.00011663621165584542,0.00023327242331169085,0.000583181058279227,0.2,0.2,0.4,0.2,0.007683260909224131,0,0.4829268292682927,0,1,0,0,1,0,0,0
66,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,53,6,3,10824.666666666666,0,0,11,0.0001693610469591994,3,2.75,0.5,0.00046190798792880463,0.0,4.6190798792880463e-05,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.014344438357110035,0,0.21951219512195122,0,1,0,0,0,0,1,0
